,text,No_of_tags,Tag,Month,No_of_ans,vote_ans,qual_ans,has_accepted_ans,has_code_col,question_text_len,user_reputation,No_of_votes,quality,predicted_classlabel
10, i want to use an empty stack s to check whether a queue q contaitns element x  thus my solution was to copy elements of q into s and check if contain x  but i'm also asked to return s elements into q again as it was originaly  this must be done using only a q and s without any other arrays of sl  so i have written this algorithm:         stuck in last step  if i used q.enqueue(s.pop) then the order of elements in q will be reversed  ,4,algorithm,12,4,1 1 1 0,75 0 0 89,1,1,438,37,0,82,1
11, say we have a binary matrix (0 or 1  whatever)  where 0 means unoccupied and 1 means occupied. the matrix is filled randomly with such values.    i know all the points that are occupied  but not those that aren't... that is  i can get an array of the points that are occupied  but not of those that aren't.    what is the most efficient way of getting a random  non-occupied point from the matrix?    i have tried getting getting a random point in the matrix like this:         this has the best-case running time of nothing and worst-case of forever.    another thing i've tried is         this has a time complexity of at least o(x * y). most of the time it's slower than the first approach  but it's a lot more stable.    the task is trivial enough  but are there more efficient ways to accomplish this?       this isn't any kind of homework or the sort. i'm implementing a snake-like game and am trying to place a new apple/cookie to some unoccupied place.  ,4,algorithm,12,2,2 0,60 75,1,1,963,940,0,81,1
12,  dear friends:         as much as strings   some numbers are also palindrome. for instance: 1  2  3  4  5  6  7  8  9  11  22  33  ...   101  111  ...  753537  ...  and so on.      here is the thing   we need to figure a way to find first 10000 palindromic numbers. starts from 1 to 10000th palindromic number.     the input consists of a series of lines with each line containing one integer value i (1 &lt;= i &lt;= 10000). this integer value i indicates the index of the palindrome number that is to be written to the output  where index 1 stands for the first palindrome number (1)  index 2 stands for the second palindrome number (2) and so on.        ex:     input 1 --> output should be: 1     input 12 --> output should be: 33     input 24 --> output should be: 151            by the way:  time limit is  1 second.    considering these factors  what is the right algorithm to solve this problem ? if you could help me and show the solution code wise in java i would very appreciate it. thanks for checking!    ,5,algorithm,12,2,0 0,60 64,0,1,1019,4,0,0,0
13," i have a big doubt in calculating time complexity.  is it calculated based on number of times loop executes ?    then my questions arrives from the below situation.    i have a class a which has string attribute.         now i have list of class a which has different names in it. here i need to check whether name \""pavan\"" exist in any of the object in the list.    scenario 1:    here the for loop will execute for lista.size of times. which can be said as  o(n)          scenario 2:    here the for loop will execute for lista.size/2 + 1 times.         i minimized the number of times for loop executes but i increased the complexity of logic.    can we say this as   ? if so can you please explain me?  ",5,algorithm,12,5,1 1 1 0 0,0 0 100 57 100,1,1,709,51,2,0,0
14, i have a number   let say 4 which is in binary represented as 100   what i will like to achieve is to complement the number i.e. replace 1 by 0 and 0 by 1 . i can achieve it like this         what is the most efficient way to achieve the same result in terms of time complexity?  please note that input can be very big numbers and we need to take care of integer overflow.      updated  egating a number like ~n will give wrong result   for e.g.        ,2,algorithm,12,4,3 1 1 0,75 68 0 100,1,1,454,6873,2,100,1
15, i'm trying to write a blackjack game using java and i'm facing this algorithm issue  the   will choose randomly 3 card from   if the   card appears in the hand it will takes a value of 1 or 11  this is the wished result :          this is the method i writhe to do this :          and this is what i get :       ,3,algorithm,11,2,1 0,75 100,1,1,313,178,0,100,1
16, i was reading through a textbook  cited below  and found the following code for insertion sort which seems flawed to me  but i wanted a second opinion before reporting it as the book has been out a while and i don't see a report yet.    insertion sort is supposed to be o(n) on a sorted set  but this one looks like it would be o(n^2) on a sorted set as it goes through all but the first element in the outer loop  and then all the elements up to the outer loop count in the inner loop.    would it be correct to say that the inner loop should be modified to check from the right to the left so that only the rightmost element would be compared when the input came in sorted?         mongan  john (2012-11-14). programming interviews exposed: secrets to landing your next job (kindle locations 3460-3464). wiley. kindle edition.   ,2,algorithm,11,2,0 0,33 92,0,1,832,11945,1,99,1
17, i'm trying to implement prim's algorithm  using a priority queue. when i call offer() method  it gives me a class cast exception  saying that vertex cannot be cast to comparable. is there a workaround?         ,4,algorithm,11,3,2 0 0,86 71 74,1,1,211,21,0,86,1
18, i have an outline for an algorithm - some logical steps that has to be performed in a specific order. the result of the algorithm has to be some number. naturally this led me to the idea of using the template method pattern. this works fine for   methods but here comes my problem: each of the steps in the algorithm is not a   method but is allowed to return a number (so they are   methods) - if a step returns a non-zero number  this number is the result of the algorithm's execution  if it is a zero - the execution continues with the next step.    this might sound really trivial but i just still find it somehow ugly to have something like:         of course      and so on are abstract methods and have their own specific implementations in the corresponding classes that extend mine.    the other idea that came to my mind was using exceptions but as we are talking about control flow here this would be an anti-pattern.    am i missing something here or is this just the way i have to write it?  ,3,algorithm,11,2,2 0,77 100,0,1,1006,423,0,17,0
19," i had a technical interview and was given the following question:        write a function that takes a sentence and returns the sentence with the words in reverse order (i.e. \""hello world\"" becomes \""world hello\"").      here is the solution that i gave in java:         i got to thinking that there has to be a more efficient way to solve this problem than this. i don't see this being asked in a technical interview for a top company if this solution turns out to be the best one and there isn't one more efficient/elegant.    can anyone think of a better way to do this?  ",2,algorithm,11,4,1 0 0 0,78 81 80 93,0,1,577,172,2,33,0
20," i have this example algorithm:         the book i am reading  \""building java programs - a back to the basics approach\"" tells me that i need to find this:    approximate the runtime of the following code fragment  in terms of n: write your answer in a format such as   or  .     i don't seem to understand how to get from point a to point b here. i figured two statements =    and a loop with two statements =   so it should be  . where am i going wrong?  ",3,algorithm,11,5,4 0 0 0 0,70 68 100 0 100,1,1,458,350,2,80,1
21,"      i've taken this code from the book \""introduction to programming with java\"" by sedgewick on their online website.     i just have a question as to whether   or   could possibly be above   if by chance   is  ? or am i wrong on this?    1.0 * 6 + 1 = 7?  ",2,algorithm,11,4,3 2 1 0,75 85 60 0,1,1,260,84,5,55,1
22, i need to store time slots for restaurant table reservation  and then see if there is any collision...         how do i store the time slots and tables and compare with others...    what data structure should i use...    if i use hashmap what can be the key  and value       i have designed all other classes and methods but cant able to find a way to solve time slot collision problem       ,2,algorithm,11,3,1 0 0,43 80 100,1,1,393,1362,0,60,1
23, say i have several  s  i will put them into another list(or other collections)  so i don't know how many list i have until i call list>.size()    take below list as an example:         how can i  get the result of list1*list2*list3*...listn as a cartesian product     for example:        ,5,algorithm,11,2,2 0,100 63,1,1,289,1546,0,63,1
24, i had an interview and there was a question. find unique numbers from sorted array in less than o(n) time.         i gave the solution but that was of o(n). can anyone help me with this thread.     edit:   sorted array size is approx 20 billion and unique numbers are approx 1000.  ,3,algorithm,11,4,13 5 2 0,88 29 67 80,1,1,283,2196,3,67,1
25, i'm trying to mix up the values of my linked list using   but i always get the same order every time this is the code who supposed to display and mix up my list of card :        ,5,algorithm,11,2,1 1,79 83,1,1,179,178,0,100,1
26, i am trying to automate the finding of the closest factor of a number to another number;     example:     closest factor of 700 to 30 is 28 (30 does not go into 700  but 28 does).    an obvious solution is just to get all the factors of 700 and do a simple distance calculation to find the nearest factor to 30  but this seems to be inefficient.    another solution is to find all the base prime factors  like:         and multiplying each of these numbers together to get all the combinations  and therefore find the closest.    i am trying to programme this so it is automated.  any better solutions?   ,3,algorithm,11,5,0 0 0 0 0,50 0 57 0 100,1,1,606,502,1,57,1
27, given a sequence which contains only various amounts of the numbers 1  2  3  and 4 (examples: 13244  4442  etc)  i want to count all its permutations such that no two adjacent numbers are the same. i believe it is o(n! * n) and want to know if there is a better one out there. anyone have any ideas?       ,3,algorithm,11,3,1 0 0,80 33 0,1,1,307,1634,2,98,1
28, new programming student over here. trying to convert a roman numeral input to it's integer value. i have been using  this  post over here as a guide. here's the thing  i haven't learned about hashtables or enums so i can't use that in my code. let me show you what i have so far:         }    i haven't even gotten to the point where i can test this out  but i know what i am doing is wrong. i know that if the roman numerals entered are in decreasing value or in equal value  then you will add the values together. i know that if the number is less than the number that follows it  you wold subtract it's value. so i'm guessing the algorithm would be something like:         is that what my conversion algorithm should look like?    let me give you some more detail on what my assignment states: this program must have 3 methods and a main method!       write a method that takes input from the user and passes it to a conversion method.    write a method that yields the numeric value of each of the letters (conversion method).    write a method that outputs the number the user entered and the converted number.    write a main method to test the 3 methods.  hint: use a single dimensional array!      so once i figure out how to write the algorithm  i then need to construct a method that outputs the number the user entered and the converted number. would that just be something like:         and then do the same for the converted roman numeral. what am i supposed to return in that method?    i don't want to just copy over what is over at the other post because i'm trying to understand how this program is supposed to work. this is an online course  so unfortunately i only have a book as a guide for this assignment so i would really appreciate help from a more experienced programmer.  ,2,algorithm,11,3,1 0 0,40 0 80,1,1,1799,69,0,82,1
29, i came across the following question while i was doing some exercise:         a sorting algorithm starts from start of the list  scan until two succeeding items that are in the wrong order are found. swap those items and go back to the beginning. the algorithm ends when the end of the list is reached.        what is the worst-case running time for a list of size n?       i feel that it is similar with bubble sort  but probably worse that that because it doesn't finish the whole pass of scanning the list. but i can't figure out how to calculate its time complexity. i am not sure if the code i came up below for this algorithm is correct. many thanks for your help!       ,5,algorithm,11,5,2 1 1 0 0,0 73 0 82 63,1,1,678,65,1,71,1
30, i have written a small piece of code to find the power of a number     can any one tell me how to find the time complexity of this code. and what is the time complexity of this code.  and is it a efficient way to find powers of a number    the code is :          as requested  i have added more notes for clearer explanation of the algorithm.    if i want to compute   raise to      step 1:-         here      in the above method    if   is odd we multiple an extra   in the final result and assign   as   to make it even         step 3:-  compute bucket 1 only and use the result of this bucket for remaining buckets  result of bucket 1 =      step 4 :-enter code here  final result is   i.e   i.e.   raise to      then we are avoiding iterations in bucket 2 3 4 and directly using the value from bucket 1 to get to the final result.  ,4,algorithm,11,2,0 0,81 100,1,1,837,8,1,0,0
31, for example if i have an array of ints like this:         and i want to choose one of these 3 numbers  but have the greater values get chosen more frequently:         how can i write a function for this  if there isn't already one in java.    edit: i'm looking for an efficient solution  o(n) or better.     i'm going to be running this code a lot times in many threads. building a new list is not sufficient.  ,3,algorithm,11,3,3 1 0,96 86 0,1,1,412,68,2,100,1
32, i have written a java program that is supposed to convert decimals from 1 to 256 to hexadecimal but the problem comes when i try decimals above 256 after which i start getting incorrect results. here is a my code:         this is the sample of the results that i got:          note: i have just started learning java so keep it simple if you can. thank you   ,2,algorithm,11,6,10 3 3 2 1 1,0 0 0 65 100 0,1,1,360,46,8,40,0
33, so  i've been given a problem to implement a program that returns   if an array of sorted integers contains numbers greater than   but less than      otherwise.    i've identified that a quick sort algorithm would be a good way to sort the array  because i can't know how the user will enter it in - then  i feed the sorted array to binary search and find out if the array contains integers within the specified range. the problem is  i can't seem to be able to reason about this  since it is not one value i want to find here  but a range. also  i want to implement this recursively if possible.    here's what i have so far:         the problem is  i just can't seem to figure out how to structure the   method.    i am mainly confused about what sort of parameters should the method even take if i am searching for a value greater than   and less than  . i feel like i'm on the right track here  but i can't seem to be able to formulate the recursion properly.     any help would be much appreciated.  ,5,algorithm,11,4,1 1 0 0,38 0 0 40,1,1,1006,32,0,100,1
34, suppose i have a list of projects with start date and end date. i also have a range of  weeks  which varies (could be over months  years  etc) i would like to display a graph showing 4 values per week:      projects started    projects closed    total projects started   total projects closed      i could loop over the range of weekly values  and for each week iterate through my list of projects and calculate values for each of these 4 trends per week. this would have algorithmic complexity      is the length of list of weeks  and   is the length of projects list. that's not so great. is there a more efficient approach  and if so  what would it be?    if it's pertinent  i'm coding in java  ,4,algorithm,10,3,3 3 1,67 90 69,1,1,699,1390,0,95,1
35, i'm working on a school assignment that checks whether a credit card number that is entered is valid or not  using luhn's algorithm.    in 1954  hans luhn of ibm proposed an algorithm for validating credit card numbers. the algorithm is useful to determine whether a card number is entered correctly or whether a credit card is scanned correctly by a scanner. credit card numbers are generated following this validity check  commonly known as the luhn check or the mod 10 check  which can be described as follows (for illustration  consider the card number  ):        double every second digit from right to left. if doubling of a digit results in a two-digit number  add up the two digits to get a single-digit number.     now add all single-digit numbers from step 1:       add all digits in the odd places from right to left in the card number:       sum the results from step 2 and step 3:       if the result from step 4 is divisible by 10 the card number is valid; otherwise  it is invalid. for example  the number   is invalid  but the number   is valid.       i need to write this program using the methods in the code i have written:         i just started learning how to program two months ago so i am fairly new to this. the program doesn't compile and i don't know why and what i have to do to fix this. i know there are similar topics already posted regarding this and i have been using  this  post to help guide me a bit. can someone help point a student in the right direction and let me know what i'm doing wrong?  ,3,algorithm,10,2,1 0,65 50,1,1,1533,69,2,82,1
36, so this seems to be a reoccurring problem for me- i'm trying to implement the line segment intersection and doubly connected edge list overlay algorithms in  computational geometry  by de berg et al. right now  i'm using the following function to test for equality of two values:         the main problem i'm having is that i'll occasionally experience a bug. for example  today i realized that one of my functions was failing because i had originally set   to   and the above function failed when one of my functions should have identified that   and   were equal. i fixed the problem by adjusting   up to  . so  my question is  is there a better way to attack this problem then honing the tolerances? or  should you modify the algorithm so that they simply output the wrong values instead of crashing? not sure exactly how to proceed from here.    one thing i note is that in the line segment intersection algorithm  outlined  here   two separate functions are necessary for calculating intersection points. basically  the first time an intersection related event point is calculated  you calculate the intersection of two segments; i use the following algorithm:         but  when determining the equality of lines in the status  i've been using:          to test where lines intersect the event line (and when two or more lines have the same intercept   they intersect the event line at the same position). so essentially  two different algorithms are used to find intersection points  which means the values i get differ slightly. lastly  i've also come to realize that the test for equality used in   is not necessarily transitive  so that will also cause some problems.  ,5,algorithm,10,2,2 2,100 79,0,1,1679,1832,3,84,1
37, i have two programs one creats a structure and one resolves it    the structure is as follows         now the problem is that the program that creates the structure is not sure whether the structure is          or         could someone please provide a way to pass this ambiguity whether b3 is attached to a1 or a3 such that the second program can know that there is an ambiguity and can decide which structure to use depending on some constraint.  ,3,algorithm,10,3,2 0 -1,0 71 45,1,1,450,26,0,0,0
38, which collection would satisfy the following test program:         the collection does not have to be implementing any particular interface  or be convertible to another collection (however of that is possible it would be nice).    it does not have to be thread safe  but if it is.... good!    returning -1 when not found or error situation is ok.    the purpose of the collection is that i quickly need to know at which position a newly inserted record was put in. also i want to look up at what position a record exists.    the collection doesn't need to support duplicate keys.    --- update ----    i went with the arraylist solution  where i keep it sorted by doing a binary lookup before inserting (to get the index where it should be inserted). this way the position in the list always correspond to the row number (in the table that that is synced with this list). it's fast and simple. i'm sure there must exists a more robust implementation than mine though?!?!  ,3,algorithm,10,3,1 0 0,68 92 0,1,1,974,493,0,72,1
39,  interview prep qn: given a long list of words  return a list of distinct words along with the count of how many occurred using only 16gb of memory.     i am thinking of using a hashmap which stores only one copy of the word and then subsequently increments the value if the same word is encountered again. this is the only approach i can think of. overall complexity would be o(n) as i need to traverse through the entire list of words once to populate my hashmap with the word and/or increment its count.      what i am unsure about is how to factor in the 16gb of memory fact into my answer?      if each word is 100 bytes (which likely is not as word length can vary)  then my hashmap can be of x number of words long  so what? how can i logically arrive at the limit of my solution? i'm a little unsure of how to proceed here..  ,4,algorithm,10,6,3 2 1 1 1 1,61 59 100 33 50 0,0,0,835,64,3,50,1
40, i am developing a feature that gets data and stores in a file in default directory where in at the end of it  we need to pass data from the file in the form of some data structure.     at this point  its decided to not use   as passing back a data of more than 4mb would cost us the performance. but while saying this  i don't understand how will this cost us the performance?      also uses a   underneath and thats what we are going forward with.  ,4,algorithm,10,2,0 0,80 76,0,1,451,770,0,63,1
41," this is for my ap computer programming class and i am lost at whats wrong with my code. my other programming teacher basically sees nothing wrong with my code and i've tried various different sets of code to work  but none have. this code  however seems the most likely to work.          what am i doing wrong. here's the error that is coming up     exception in thread \""main\"" java.lang.arrayindexoutofboundsexception: 4     at tc1.work(tc1.java:24)     at tc1.main(tc1.java:12)   ",3,algorithm,10,3,0 0 0,100 65 0,0,1,484,1,0,0,0
42, i am trying to solve an algorithmic problem for which i have a   time    memory solution (see below) instead of a   time and memory solution.    the problem is to count the number of  isomorphic cyclic shifts  for a given string s. a  cyclic shift  is a transformation of the initial string such as if   (where n is the length of the string) :         a cyclic shift is said  isomorphic  if it is equal to the initial string. i have the feeling that a string can have such cycling shift iff it consists in the repetition of a pattern  but i cannot prove it. if it was the case  the problem would then become to find this pattern and then deduce the number of isomorphic cyclic shift  basing on the length of the pattern and the length of the string.    my current solution constructs all the cyclic shifts and compare them to the initial string  which is a   operation in a loop bounded by n  leading to a complexity of  . here is my code in java for reference :         do you have any idea of how i could solve this problem respecting the   requirement ? answers can be in java  scala  or pseudo-code.  ,3,algorithm,10,2,2 0,93 82,1,1,1106,4351,1,82,1
43, while trying to devise an algorithm  i stumbled upon this question. it's not homework.    let p_i = an array of the first i primes. now i need the smallest   such that         (if such   exists).    an approximation for the  'th prime is  . so i tried this in java:         however the above doesn't finish because it converges to 0.7. however   rounds to   in java  so that's why it doesn't work. for the same reason it doesn't even work if you replace the 6th line with         while that should reach   if i'm not mistaken  because the sum should incease faster than   and the latter converges to  . in other words  this shows that java rounding causes the sum to not reach  . i think that the minimum   of my problem should exist.  ,5,algorithm,10,3,7 2 0,50 89 91,1,1,737,199,6,67,1
44, this is in java. suppose that your quick-sort algorithm uses a pivot rule that picks the element in the Ì¢åÛåÏmiddleÌ¢åÛå. that is  for an array a[0 1 ... n?1] of size n  it uses the element in a[n/2] as pivot if n is even and the element in a[(n ? 1)/2] as pivot if n is odd. illustrate how this algorithm works using a quick-sort tree on the input:         would the first pivot be 5 or 4? i was thinking it would be 5 since (7-1)/2 = 3 and 5 is the 3rd element  or would it be the 3rd index  which is the element 4?  ,3,algorithm,10,2,0 0,100 60,1,1,512,332,0,64,1
45, i am trying to create a program to validate 10 to 12 digit long number sequences based on the luhn algorithm  but my program keeps on telling me that every number is invalid even though they're not.    this number should be valid  but my begs to differ: 8112189876    this number should not be valid  which my program agrees with (it thinks every number is invalid): 8112189875    please have a look at the following code and help me out:         cheers guys!  ,3,algorithm,10,3,3 0 0,79 65 25,1,1,462,8,1,0,0
46, i have an app that communicates with a rest webservice.  we want implement a strategy in wich the app will first ask for the first x number of items  and once it used them all  will ask for the next x . well my question is about the best practice/model/algorithm to implement in the server to solve this specification.     our approach a      the server knows it has z items in total (say 100)   every time the app asks for new items it will inform the server how many time it did before . something like url/givemedata/1 or url/givemedata/6 . in the first request the server will send the first 10 items on db  and in the seconde example the server will send items from 50 to 60 .        problem  :          what if we insert new data on the server ? what if we delete data from the server ? if at the time the 1st request was made the server had 100 items   it would send the first 10 items to the app . but if at the time of the 2nd request the server had 300 items and we kept the same logic (10% of the total)  the server would return to the app items from 30 to 60 . not only we wouldn't be sending 20 items   we could be sending repeated items in the future if we deleted some from the server .    our approach b      save every item we send to each client.        problem  : this is   what i like to call   the lazy choice. because its easy to save what we have sent to each client and then just exclude from future requests the ones we have already sent but in terms of perfomance this could be big problem (just imagine if we had 10000 items and 20000 clients.)    now   is there a pattern or best known practice to approach an issue like this ?     thank you all in advance     pedro ferreira  ,4,algorithm,10,3,2 1 0,67 82 0,0,0,1706,55,2,29,0
47, i'm trying to figure out the running time of the following snippet of java code:         just for clarification  the running time would be \\theta(n^2)  right? the outer loop runs n times and the inner loop runs n-j times for each iteration of j. putting this together gives \\theta(n^2).  ,3,algorithm,10,2,0 0,98 75,0,1,291,172,0,33,0
48, i am working on a mock test and i am struggling to create a loop that will cycle the input 12 times while adding each input to a sum.            determines the average weight of a person over a particular year.     for each month  your algorithm should input the person's weight for that month (a positive real number). your algorithm should loop    repeating the input  until the input is positive.     finally  your algorithm output the average weight.          after looking through lecture notes on iteration control structures i have come up with this:         unfortunately all this does for me is repeat the input an infinite amount of times until i enter a number greater than 12.    i just want to make consoleinput cycle 12 times. does anyone know the best way about this using while  do-while and for loops? i'm not allowed to use arrays  objects etc at this point in the course.    any advice is appreciated cheers.  ,2,algorithm,10,2,0 0,86 100,1,1,930,8,1,0,0
49, below is a method to solve a sudoku  with backtracking algorithm.. or that's what i meant to do         however when i run it  it gave me stackoverflow. the stackoverflow points to fillgrid(a) the one with 'recurse' comment  and (!find(a)). the method find is below:         anyone please tell me what's wrong with the code?  ,3,algorithm,10,2,1 0,88 80,1,1,327,86,0,92,1
50," i have a binary search tree class  and i was wondering  using the height variable  how can i use it for calculating the path length  of each individual node  from the root?    for example:         the path size (height) of \""e\"" is 1  the path size of \""a\"" is 2  the path size of \""m\"" is 3  the path size of \""x\"" is 1. how would i do this at the time of inserting a node using the method put()?       ",3,algorithm,10,2,1 1,91 69,1,1,405,0,0,0,0
51, is it possible to go through a boolean array to find a false value in o(logn) running time? the array's indices run from 0 to n-1.    if it is  how would we do it in java? pseudo code is fine.  ,4,algorithm,10,3,1 1 -1,100 75 67,0,0,195,332,0,64,1
52, i'm churning my brains trying to think of a simple way (algorithm) for the following scenario:    i wish to run some tests for 24 hours.  there are 3 kinds of test. each test must be executed a certain percentage of the time. each test must take a random length of time to complete.    now  if i exclude the last part - random time length - and fix the length of time for each test then everything is fine. but with a random test time  how can i ensure that indeed the correct number will be executed in 24 hours? seems to me like i need to know in advance the length of time for each test so that i can work out many tests in total i need!    any ideas?  ,3,algorithm,10,2,1 0,100 83,0,0,657,41,0,24,0
53," depend of the percent completion level of my game i will display some messages  i made up this pseudo code it probably doesn't work is just for you to get the point.    what would it be a \""pro\"" way of doing the following...       ",2,algorithm,10,4,3 2 1 0,0 60 0 66,0,1,233,44,0,33,0
